prot	annotation	NROWS	NCOLS	row_to_check	most_probable_line	lev
data/1932/prot-1932--ak--042.xml	de krediter som lämnas till bankerna, ske på bankmässiga grunderoch att	55	1	31	de krediter, som lämnas till bankerna, ske på bankmässiga grunder, och a	5
data/1933/prot-1933--ak--014.xml	mot klingande valuta. Detta var uppenbarligen en sida av jordbruksproblemet,	55	1	45	 mot klingande valuta. Detta var uppenbarligen en sida av jordbruksproblemet,	0
data/1933/prot-1933--ak--014.xml	kan knappast värja sig för tanken, att så delvis är förhållandet, när man ser	55	1	48	 kan knappast värja sig för tanken, att så delvis är förhållandet, när man ser	0
data/1933/prot-1933--ak--014.xml	För särskilt Ölands vidkommande hade det varit synnerligen önskvärt, att	55	1	53	 För särskilt Ölands vidkommande hade det varit synnerligen önskvärt, att	0
data/1933/prot-1933--ak--049.xml	Jag kan icke underlätte att fästa uppmärksamheten på att man har vid för-	55	1	8	 Jag kan icke underlåta att fästa uppmärksamheten på att man har vid förha	5
data/1933/prot-1933--ak--049.xml	förstod, att det var någonting i görningen. Så smångingom fick man ju klart	55	1	28	 förstod, att det var någonting i görningen. Så småningom fick man ju klart 	1
data/1933/prot-1933--ak--049.xml	arbetslönen, som varit avgörande vid den allmänna lönesättningen, och att	55	1	31	arbetarlönen, som varit avgörande vid den allmänna lönesättningen, och att	2
data/1933/prot-1933--ak--049.xml	gör, helt enkelt äro konstruerade.	55	1	41	 gör, helt enkelt äro konstruerade.	0
data/1933/prot-1933--ak--049.xml	lan kl. 3 och 1/2 4 på e. m. Så krävdes det svar kl. 7 samma eftermiddag men	55	1	47	lan kl. 3 och !/,4 på e. m. Så krävdes det svar kl. 7 samma eftermiddag, men 	4
data/1933/prot-1933--ak--049.xml	och ett byte. Man har velat köpa bondeförbundets represen-	55	1	52	 och ett byte. Man har velat köpa bondeförbundets medverkan	7
data/1934/prot-1934--fk--037.xml	naturligtvis krävt riksdagens godkännande av ett sådant förslag. Då, menar	53	1	18	 naturligtvis krävt riksdagens godkännande av ett sådant förslag. Då, menar	0
data/1934/prot-1934--fk--037.xml	stort hopp till detta förslag?	53	1	32	 stort hopp till detta förslag?	0
data/1934/prot-1934--fk--037.xml	I detta anförande instämde herr Carlsson, Carl och herr Johansson, August.	53	1	33	I detta anförande instämde herr Carlsson, Carl, och herr Johansson, August.	1
data/1935/prot-1935--ak--032.xml	dustri å ett dylikt plan av viss Junkertyp, varå priset vid samtidig be-	52	1	40	ndustri å ett dylikt plan av viss Junkertyp, varå priset vid samtidig bes	2
data/1935/prot-1935--ak--032.xml	flygstyrelsens förfogande för inköp av två torped- och fjärrspaningsflygplan,	52	1	43	l flygstyrelsens förfogande för inköp av två torpedoch fjärrspaningsflygplan, 	4
data/1935/prot-1935--ak--032.xml	och sedan flygstyrelsens militärbyrå uttalat, att av de inkomna anbuden en-	52	1	44	 och sedan flygstyrelsens militärbyrå uttalat, att av de inkomna anbuden end	1
data/1935/prot-1935--ak--042.xml	stiftning, som är ganska omständlig och besvärlig med sina tvingande före-	53	1	4	gstiftning, som är ganska omständlig och besvärlig med sina tvingande föres	2
data/1935/prot-1935--ak--042.xml	talesman, herr Sandstöm, har fattat sig tämligen kort beträffande den före-	53	1	45	 talesman, herr Sandström, har fattat sig tämligen kort beträffande den före	2
data/1935/prot-1935--ak--042.xml	själv inmätte det virke, som han köpte, har virkesmätningen i allra största	53	1	53	e själv inmätte det virke, som han köpte, har virkesmätningen i allra störst	3
data/1935/prot-1935--fk--024.xml	gren och Aronson ansett, att utskottets yttrande bort hava den lydelse, som	46	1	17	gren och Aronson ansett, att utskottets yttrande bort hava den lydelse, som 	0
data/1935/prot-1935--fk--024.xml	punkten hemställt samt vidare på antagande av det förslag, som innefattades	46	1	28	 punkten hemställt samt vidare på antagande av det förslag, som innefattades	0
data/1935/prot-1935--fk--024.xml	avslag å herr J. B. Johanssons m. fl. och herr Lindmans m. fl. motioner (I: 5	46	1	40	 avslag å herr J. B. Johanssons m. fl. och herr Lindmans m. fl. motioner (I: 5	0
data/1935/prot-1935--fk--042.xml	År 1934 kom Lettlands utrikesminister på eget initiativ till Stockholm på	49	1	22	 År 1934 kom Lettlands utrikesminister på eget initiativ till Stockholm på	0
data/1935/prot-1935--fk--042.xml	Litauen har hällits något på sidan. Landet var ej tidigare förenat med	49	1	26	Litauen har hållits något på sidan. ZLandet var ej tidigare förenat med	2
data/1935/prot-1935--fk--042.xml	Den som vill att kammaren bifaller socialförsäkringsutskottets hemställan	49	1	27	 Det ena kommer att giva det andra. Med dessa erinringar om det avslutade 	53
data/1936/prot-1936--ak--013.xml	gande intresse.	52	1	9	gande intresse. 	0
data/1936/prot-1936--ak--013.xml	rande i vårt land av bedövningstvång vid slakt av husdjur ävensom för riks-	52	1	12	örande i vårt land av bedövningstvång vid slakt av husdjur ävensom för riksd	2
data/1936/prot-1936--ak--013.xml	Då slagtlagsfrågans uppskjutande numera synes alldeles omotiverat och	52	1	35	 Då slaktlagsfrågans uppskjutande numera synes alldeles omotiverat och	1
data/1936/prot-1936--ak--021.xml	komst ha — låt vara i begränsad omfattning — 2 kronor i timmen. Jag tror	54	1	5	komst ha — låt vara i begränsad omfattning — 2 kronor i timmen. Jag tror 	0
data/1936/prot-1936--ak--021.xml	kände den värdering av undervisningen, som man förut hade gett.	54	1	42	kände den värdering av undervisningen, som man förut hade gett. 	0
data/1936/prot-1936--ak--021.xml	lig överraskning jag hörde det sätt, varpå han sökte lägga upp denna fråga.	54	1	51	lig överraskning jag hörde det sätt, varpå han sökte lägga upp denna fråga. 	0
data/1936/prot-1936--ak--043.xml	att man hade beräknat så låga anskaffningskostnader, att det icke gick	49	1	11	 att man hade beräknat så låga anskaffningskostnader, att det icke gick	0
data/1936/prot-1936--ak--043.xml	Nej;	49	1	35	 Nej;	0
data/1936/prot-1936--ak--043.xml	Sedan kammarens ledamoter härefter intagit sina pltser och voteringspro-	49	1	39	 Sedan kammarens ledamöter härefter intagit sina platser och voteringspro	3
data/1936/prot-1936--ak--047.xml	det vill jag understryka — i ganska stor utsträckning bilägarnas berättigade 	54	1	22	 det vill jag understryka — i ganska stor utsträckning bilägarnas berättigade 	0
data/1936/prot-1936--ak--047.xml	myndigheten. Denna myndighet skulle komma att utöva en så stor makt att	54	1	37	myndigheten. Denna myndighet skulle komma att utöva en så stor makt, att	1
data/1936/prot-1936--ak--047.xml	ningen av förhandlingarna, instämde herr Holmström.	54	1	49	ningen av förhandlingarna, instämde herr Holmström. 	0
data/1936/prot-1936--fk--028.xml	Osdagen den 29 april. Nr 28. 3	47	1	1	Onsdagen den 29 april. Nr 28. 3	1
data/1936/prot-1936--fk--028.xml	att tillämpas tills vidare från och med budgetåret 1936/37;	47	1	24	 att tillämpas tills vidare från och med budgetåret 1936/193	3
data/1936/prot-1936--fk--028.xml	1937 övertaga öasarettets drift ävensom, under förutsättning härav, att från	47	1	35	 1937 övertaga lasarettets drift ävensom, under förutsättning härav, att från	1
data/1936/prot-1936--fk--045.xml	det inre Asien åren 1927—1934.	32	1	10	 det inre Asien åren 1927—1934.	0
data/1936/prot-1936--fk--045.xml	och nr 227 med förslag till lag om tillägg till lagen den 9 april 1926 (nr 66)	32	1	14	 och nr 227 med förslag till lag om tillägg till lagen den 9 april 1926 (nr 66)	0
data/1936/prot-1936--fk--045.xml	tygsuttagningslagen), ävensom i anledning av de inom riksdagens kamrar	32	1	16	tygsuttagningslagen), ävensom i anledning av de inom riksdagens kamrar 	0
data/1936/prot-1936--fk--046.xml	jordbrukarna, i allmänhet icke är den mest tyngande, utan kommunal-	55	1	8	Jordbrukarna, i allmänhet icke är den mest tyngande, utan att kommun	7
data/1936/prot-1936--fk--046.xml	inkomst utgjort i runt tal 60 00 kronor,. Med dylika och liknande fall för	55	1	35	 inkomst utgjort i runt tal 60,000 kronor. Med dylika och liknande fall för	3
data/1936/prot-1936--fk--046.xml	derligt material rörande verkningarna av de olika förslagen, innan utskottet	55	1	40	derligt material rörande verkningarna av de olika förslagen, innan utskottet 	0
data/1937/prot-1937--ak--021.xml	Chefen för jordbruksdepartementet, herr statsrådet Pehrsson-Bramstorp:	52	1	12	 Chefen för jordbruksdepartementet, herr statsrådet Pehrsson-Bramstorp:	0
data/1937/prot-1937--ak--021.xml	de ledande inom mejeriorganisationerna inte gärna kunna vara benägna att	52	1	27	 de ledande inom mejeriorganisationerna inte gärna kunna vara benägna att	0
data/1937/prot-1937--ak--021.xml	Härmed var överläggning slutad. Herr talmannen gav propositioner dels	52	1	34	Härmed var överläggningen slutad. Herr talmannen gav propositioner del	3
data/1937/prot-1937--fk--013.xml	dagens militieombudsman; och befunnos efter valförättningens slut rösterna	54	1	23	dagens militieombudsman; och befunnos efter valförrättningens slut rösterna	1
data/1937/prot-1937--fk--013.xml	avgå, samt utöva ämbetet under dem tid, militieombudsmannen kan vara av	54	1	30	 avgå, samt utöva ämbetet under den tid, militieombudsmannen kan vara av	1
data/1937/prot-1937--fk--013.xml	Carl Gustaf Ingemar Hellquist.......... samtliga angivna eller 45 röster	54	1	42	Carl Gustaf Ingemar Hellquist ............ samtliga avgivna eller 45 röst	6
data/1937/prot-1937--fk--031.xml	sin tacksamhet genom att fresta riksdagen att till dess dotterbolag anslå 1/2	54	1	6	 sin tacksamhet genom att fresta riksdagen att till dess dotterbolag anslå ”/,	2
data/1937/prot-1937--fk--031.xml	de resandes behov genom enskild företagsamhet utan någon statsutgift.	54	1	17	 de resandes behov genom enskild företagsamhet utan någon statsutgift.	0
data/1937/prot-1937--fk--031.xml	kring tiden för Marie bebådelsedag och vid påsktiden, summa tre veckor, som	54	1	22	kring tiden för Marie bebådelsedag och vid påsktiden, summa tre veckor, som 	0
data/1938/prot-1938--ak--036.xml	möjligheter. Samtidigt härmed visade emellertid fru Nordgren, att våra lant-	53	1	4	 möjligheter. Samtidigt härmed visade emellertid fru Nordgren, att våra lanth	1
data/1938/prot-1938--ak--036.xml	vändig, då får väl de allmänna här som på andra områden verkligen taga hän-	53	1	15	vändig, då får väl det allmänna här som på andra områden verkligen taga häns	2
data/1938/prot-1938--ak--036.xml	Herr andre vice talmannen lämnade, likaledes för kort genmäle, ånyo or-	53	1	50	 Herr andre vice talmannen lämnade, likaledes för kort genmäle, ånyo ord	1
data/1938/prot-1938--ak--037.xml	jag kom att bli förste talare i denna debatt. Det är annars mycket ovanligt,	54	1	6	 jag kom att bli förste talare i denna debatt. Det är annars mycket ovanligt,	0
data/1938/prot-1938--ak--037.xml	att den som talar för utskottet börjar en debatt. Jag har nu ansett nödvändigt	54	1	7	 att den som talar för utskottet börjar en debatt. Jag har nu ansett nödvändigt	0
data/1938/prot-1938--ak--037.xml	man finna samma synpunkter anförda jämväl i en reservation, avgiven av	54	1	44	 man finna samma synpunkter anförda jämväl i en reservation, avgiven av	0
data/1939/prot-1939--ak--033.xml	betänkande rörande utredning om förhandlingsrätt för kommunala tjänstemän	54	1	7	 betänkande rörande utredning om förhandlingsrätt för kommunala tjänstemän	0
data/1939/prot-1939--ak--033.xml	yttranden, som gå i en för herr Arnemark gynnsam riktning, då är han ganska	54	1	34	 yttranden, som gå i en för herr Arnemark gynnsam riktning, då är han ganska	0
data/1939/prot-1939--ak--033.xml	det fackförbund, som representerar tjänstemän I betydande grad och som till-	54	1	42	 det fackförbund, som representerar tjänstemän 1 betydande grad och som tills	2
data/1939/prot-1939--ak--004.xml	alldeles ostridigt är till finnandes bland representaterna både för den privata	54	1	26	alldeles ostridigt är till finnandes bland representanterna både för den privata	1
data/1939/prot-1939--ak--004.xml	sig uppe utan att öka sin skuldsättning undan för undan. Och det kan ju icke	54	1	44	 sig uppe utan att öka sin skuldsättning undan för undan. Och det kan ju icke	0
data/1939/prot-1939--ak--004.xml	Man stöder t. ex spannmålsodlarna genom prisreglering på spannmål och im-	54	1	48	 Man stöder t. ex. spannmålsodlarna genom prisreglering på spannmål och im	2
data/1939/prot-1939--fk--023.xml	vapnet; dessa äro ju de enda utbildade flyglärare vi ha. Vid skolan måste	53	1	9	vapnet; dessa äro ju de enda utbildade flyglärare vi ha. Vid skolan måste 	0
data/1939/prot-1939--fk--023.xml	emellertid under de närmaste två åren knapast avstå personal till lärare vid en	53	1	12	emellertid under de närmaste två åren knappast avstå personal till lärare vid en	1
data/1939/prot-1939--fk--023.xml	inom de frivilliga flygorganisationerna, och den kvalificerade militära flyg-	53	1	53	s inom de frivilliga flygorganisationerna, och den kvalificerade militära flyg	3
